Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
October 31 2019,Pierce,WA,Passenger,2060,1629,3689,547046,550735,0.67
October 31 2019,Pinellas,FL,Passenger,1,1,2,108,110,1.82
October 31 2019,Portsmouth,VA,Passenger,0,1,1,78,79,1.27
October 31 2019,Prince George's,MD,Passenger,1,1,2,176,178,1.12
October 31 2019,Randolph,NC,Passenger,1,0,1,6,7,14.29
October 31 2019,Whatcom,WA,Passenger,949,470,1419,151483,152902,0.93
October 31 2019,Yakima,WA,Passenger,115,114,229,165910,166139,0.14
November 30 2019,Benton,WA,Passenger,310,309,619,135123,135742,0.46
November 30 2019,Broward,FL,Passenger,2,1,3,123,126,2.38
November 30 2019,Cascade,MT,Passenger,0,1,1,59,60,1.67
November 30 2019,Chelan,WA,Truck,0,0,0,22517,22517,0.00
November 30 2019,Clallam,WA,Passenger,195,153,348,50910,51258,0.68
November 30 2019,Columbia,WA,Passenger,3,2,5,2443,2448,0.20
November 30 2019,Lincoln,WA,Truck,0,0,0,4695,4695,0.00
November 30 2019,Montgomery,AL,Passenger,0,1,1,41,42,2.38
November 30 2019,Multnomah,OR,Passenger,4,6,10,724,734,1.36
November 30 2019,Nassau,NY,Passenger,4,0,4,39,43,9.30
November 30 2019,Okanogan,WA,Passenger,27,30,57,26232,26289,0.22
November 30 2019,Oklahoma,OK,Passenger,0,1,1,124,125,0.80
September 30 2019,Okanogan,WA,Passenger,24,26,50,26235,26285,0.19
September 30 2019,Pacific,WA,Passenger,25,29,54,16083,16137,0.33
